table: 24E10B40
	helicopter_snipers_drills | table: 53C62B20
							_id | 100434
							_units | table: 54130600 (empty)
							_events | table: 54130620 (empty)
							_mission_script | table: 53D80B40 (repeat)
							_values_extensions | table: 54130580 (empty)
							_editor_name | ai_spawn_enemy_087
							_element_group | ElementSpawnEnemyDummy
						14 | table: 540F38E0
							__name | ElementSpawnEnemyDummy
							_values | table: 53B52660
								enabled | true
								force_pickup | none
								debug | false
								participate_to_group_ai | true
								trigger_times | 0
								position | Vector3(-675, -29350, 5689.48)
								execute_on_restart | false
								base_delay | 0
								rotation | Rotation(0, 0, -0)
								spawn_action | so_crh_to_std
								on_executed | table: 53B52680 (empty)
								amount | 0
								execute_on_startup | false
								accessibility | any
								interval | 5
								enemy | units/characters/enemies/swat/swat
							_enemy_name | Idstring(@ID6a1ac63b209e379a@) --units/characters/enemies/swat/swat
							_id | 100419
							_units | table: 540F3980 (empty)
							_events | table: 540F39A0 (empty)
							_mission_script | table: 53D80B40 (repeat)
							_values_extensions | table: 540F3900 (empty)
							_editor_name | ai_spawn_enemy_072
							_element_group | ElementSpawnEnemyDummy
				_id | 100418
			100434 | table: 54130560 (repeat)
			100466 | table: 54130AE0
				__name | ElementToggle
				_values | table: 53B52F60
					enabled | true
					on_executed | table: 53B52FC0 (empty)
					elements | table: 53B52F80
						1 | 100467
						2 | 101545
						3 | 101547
						4 | 101549
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1825, -47525, 5369.63)
					execute_on_startup | false
					toggle | on
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54130B00 (empty)
				_editor_name | logic_toggle_017
				_element_group | ElementToggle
				_id | 100466
			100498 | table: 54131160
				__name | ElementToggle
				_values | table: 53B534C0
					enabled | true
					on_executed | table: 53B53500 (empty)
					elements | table: 53B534E0
						1 | 100486
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1475, -35025, 6015.98)
					execute_on_startup | false
					toggle | on
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54131180 (empty)
				_editor_name | logic_toggle_018
				_element_group | ElementToggle
				_id | 100498
			100514 | table: 541319C0
				__name | ElementSpawnEnemyDummy
				_values | table: 53B538A0
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-2300, -36450, 5553.35)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					spawn_action | so_crh_to_std
					on_executed | table: 53B538C0 (empty)
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 5
					enemy | units/characters/enemies/swat/swat
				_enemy_name | Idstring(@ID6a1ac63b209e379a@) --units/characters/enemies/swat/swat
				_id | 100514
				_units | table: 54131A60 (empty)
				_events | table: 54131A80 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541319E0 (empty)
				_editor_name | ai_spawn_enemy_100
				_element_group | ElementSpawnEnemyDummy
			100530 | table: 54132140
				__name | ElementToggle
				_values | table: 53B53C20
					enabled | true
					on_executed | table: 53B53C60 (empty)
					elements | table: 53B53C40
						1 | 100531
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1400, -17475, 5850)
					execute_on_startup | false
					toggle | on
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54132160 (empty)
				_editor_name | logic_toggle_019
				_element_group | ElementToggle
				_id | 100530
			100690 | table: 542F01E0
				__name | ElementSpecialObjectiveTrigger
				_values | table: 53D41E40
					enabled | true
					on_executed | table: 53D41E80
						1 | table: 53D41EA0
							delay | 1.5
							id | 100823
					elements | table: 53D41E60
						1 | 101793
					trigger_times | 0
					event | complete
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1275, -2200, 5558.35)
					execute_on_startup | false
					debug | false
					execute_on_restart | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542F0200 (empty)
				_editor_name | trigger_special_objective_027
				_element_group | ElementSpecialObjectiveTrigger
				_id | 100690
			100802 | table: 54133300
				__name | ElementSpecialObjective
				_values | table: 53BB0740
					so_action | so_container_jumpdown
					on_executed | table: 53BB0760 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-338.495, -22249.3, 5759.3)
					search_distance | 0
					patrol_path | none
					scan | false
					SO_access | 262140
					rotation | Rotation(90, -0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | 4
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | true
					base_delay | 0
					align_rotation | true
					align_position | false
					interrupt_on | none
					position | Vector3(-200, -22275, 6035.95)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54133320 (empty)
				_editor_name | point_special_objective_020
				_events | table: 54133380 (empty)
				_id | 100802
			100818 | table: 54133640
				__name | ElementSpawnEnemyDummy
				_values | table: 53BB0940
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | false
					trigger_times | 0
					position | Vector3(1125, -22425, 6952.47)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					spawn_action | repel_vert
					on_executed | table: 53BB0960
						1 | table: 53BB0980
							delay | 0
							id | 101325
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 5
					enemy | units/characters/enemies/swat/swat
				_enemy_name | Idstring(@ID6a1ac63b209e379a@) --units/characters/enemies/swat/swat
				_id | 100818
				_units | table: 541336E0 (empty)
				_events | table: 54133700 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54133660 (empty)
				_editor_name | ai_spawn_enemy_123
				_element_group | ElementSpawnEnemyDummy
			100834 | table: 54133D00
				__name | ElementSpecialObjective
				_values | table: 53BB0EC0
					so_action | AI_sniper
					on_executed | table: 53BB0EE0 (empty)
					trigger_times | 1
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | true
					search_position | Vector3(0, -23150, 6352.47)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 16348
					rotation | Rotation(90, -0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | -1
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | false
					base_delay | 0
					align_rotation | true
					align_position | true
					interrupt_on | none
					position | Vector3(0, -22999, 6352.47)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54133D20 (empty)
				_editor_name | point_special_objective_024
				_events | table: 54133D80 (empty)
				_id | 100834
			100850 | table: 54183920
				__name | ElementOperator
				_values | table: 53BF2DA0
					enabled | true
					on_executed | table: 53BF2DE0 (empty)
					elements | table: 53BF2DC0
						1 | 100847
					operation | add
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1773, -44699, 5507.17)
					execute_on_startup | false
					trigger_times | 0
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54183940 (empty)
				_editor_name | logic_operator_015
				_element_group | ElementOperator
				_id | 100850
			100898 | table: 54160380
				__name | MissionScriptElement
				_values | table: 53BB1260
					enabled | true
					on_executed | table: 53BB1280
						1 | table: 53BB12A0
							delay | 0
							id | 100908
						2 | table: 53BB12C0
							delay | 50
							id | 100845
						3 | table: 53BB12E0
							delay | 14
							id | 100902
						4 | table: 53BB1320
							delay | 26
							id | 100854
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1650, -24525, 8050)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541603A0 (empty)
				_editor_name | logic_link_042
				_element_group | MissionScriptElement
				_id | 100898
			100914 | table: 54161260
				__name | MissionScriptElement
				_values | table: 53BB1B60
					enabled | true
					on_executed | table: 53BB1B80
						1 | table: 53BB1BA0
							delay | 0
							id | 100922
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					position | Vector3(-1700, -24300, 8025)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54161280 (empty)
				_editor_name | logic_link_044
				_element_group | MissionScriptElement
				_id | 100914
			100930 | table: 54161920
				__name | MissionScriptElement
				_values | table: 53BB2020
					enabled | true
					on_executed | table: 53BB2040
						1 | table: 53BB2060
							delay | 0
							id | 100925
						2 | table: 53BB2080
							delay | 26
							id | 100958
						3 | table: 53BB20A0
							delay | 14
							id | 100905
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-2650, -19950, 8025)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54161940 (empty)
				_editor_name | logic_link_046
				_element_group | MissionScriptElement
				_id | 100930
			101026 | table: 542F2B00
				__name | ElementToggle
				_values | table: 53D43BA0
					enabled | true
					on_executed | table: 53D43BE0
						1 | table: 53D43C00
							delay | 0.25
							id | 101576
					elements | table: 53D43BC0
						1 | 101651
						2 | 101650
						3 | 101652
						4 | 101653
						5 | 101654
						6 | 101655
						7 | 101648
						8 | 101649
						9 | 101715
						10 | 101716
						11 | 101356
						12 | 101355
						13 | 101346
						14 | 101341
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-5326, -7786, 6400)
					execute_on_startup | false
					toggle | off
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542F2B20 (empty)
				_editor_name | logic_toggle_065
				_element_group | ElementToggle
				_id | 101026
			101090 | table: 54180CA0
				__name | ElementSpecialObjective
				_values | table: 53BF0560
					so_action | so_hood_slide
					on_executed | table: 53BF0580 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-1044.16, -6727.45, 5769.11)
					search_distance | 0
					patrol_path | none
					scan | false
					SO_access | 255956
					rotation | Rotation(2.86351, -0.394973, 0.0197888)
					pose | none
					repeatable | false
					enabled | true
					interval | 14
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | true
					base_delay | 0
					align_rotation | true
					align_position | false
					interrupt_on | none
					position | Vector3(-1000, -7300, 5773.1)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54180CC0 (empty)
				_editor_name | point_special_objective_030
				_events | table: 54180D20 (empty)
				_id | 101090
			101234 | table: 541623E0
				__name | ElementSpecialObjective
				_values | table: 53BB2980
					so_action | none
					on_executed | table: 53BB29A0 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | precise
					execute_on_restart | false
					use_instigator | true
					search_position | Vector3(-2275, -3900, 5749.69)
					search_distance | 0
					patrol_path | event_spooc_2_1
					scan | true
					SO_access | 16348
					rotation | Rotation(0, 0, -0)
					pose | crouch
					repeatable | false
					enabled | true
					interval | -1
					debug | false
					access_flag_version | 1
					path_stance | cbt
					path_haste | walk
					is_navigation_link | false
					base_delay | 0
					align_rotation | true
					align_position | true
					interrupt_on | none
					position | Vector3(-2275, -3900, 5749.69)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54162400 (empty)
				_editor_name | point_special_objective_004
				_events | table: 54162460 (empty)
				_id | 101234
			101250 | table: 542F0B60
				__name | ElementSpecialObjectiveTrigger
				_values | table: 53D42880
					enabled | true
					on_executed | table: 53D428C0
						1 | table: 53D428E0
							delay | 1.5
							id | 101230
					elements | table: 53D428A0
						1 | 101801
					trigger_times | 0
					event | complete
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-625, -10400, 5794.49)
					execute_on_startup | false
					debug | false
					execute_on_restart | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542F0B80 (empty)
				_editor_name | trigger_special_objective_033
				_element_group | ElementSpecialObjectiveTrigger
				_id | 101250
			101346 | table: 54181480
				__name | MissionScriptElement
				_values | table: 53BF0CE0
					enabled | false
					on_executed | table: 53BF0D00
						1 | table: 53BF0D20
							delay | 0
							id | 101362
						2 | table: 53BF0D40
							delay | 0
							id | 101735
						3 | table: 53BF0D60
							delay | 0
							id | 101736
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-4300, -7800, 7075)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541814A0 (empty)
				_editor_name | logic_link_058
				_element_group | MissionScriptElement
				_id | 101346
			101362 | table: 541817C0
				__name | ElementSpawnCivilian
				_values | table: 53BF0FC0
					enabled | true
					on_executed | table: 53BF0FE0
						1 | table: 53BF1000
							delay | 0
							id | 101800
					debug | false
					trigger_times | 1
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(151.796, 0, -0)
					position | Vector3(-866, -9568, 5788.79)
					execute_on_startup | false
					state | none
					force_pickup | none
					enemy | units/characters/civilians/prisoner_3/prisoner_3
				_enemy_name | Idstring(@ID12158400a71477e7@) --units/characters/civilians/prisoner_3/prisoner_3
				_id | 101362
				_units | table: 54181860 (empty)
				_events | table: 54181880
					spawn | table: 541D2EA0
						1 | function: 541D2E80
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541817E0 (empty)
				_editor_name | ai_spawn_civilian_030
				_element_group | ElementSpawnCivilian
			101394 | table: 542F1780
				__name | ElementSpecialObjectiveTrigger
				_values | table: 53D42F40
					enabled | true
					on_executed | table: 53D42F80
						1 | table: 53D42FA0
							delay | 0
							id | 101396
					elements | table: 53D42F60
						1 | 101626
					trigger_times | 0
					event | anim_act_01
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-3150, -22300, 7350)
					execute_on_startup | false
					debug | false
					execute_on_restart | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542F17A0 (empty)
				_editor_name | trigger_special_objective_035
				_element_group | ElementSpecialObjectiveTrigger
				_id | 101394
			101410 | table: 54292620
				__name | ElementTeammateComment
				_values | table: 53CF1660
					enabled | true
					on_executed | table: 53CF1680
						1 | table: 53CF16A0
							delay | 4
							id | 100558
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(44.9999, -0, -0)
					use_instigator | false
					position | Vector3(-3376, -46816, 3575)
					execute_on_startup | false
					radius | 0
					close_to_element | true
					comment | bri_50
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54292640 (empty)
				_editor_name | point_teammate_comment_055
				_element_group | ElementTeammateComment
				_id | 101410
			101458 | table: 54181E60
				__name | ElementSpecialObjective
				_values | table: 53BF1520
					so_action | AI_sniper
					on_executed | table: 53BF1540 (empty)
					trigger_times | 1
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-1258.11, -12192.9, 5806.83)
					search_distance | 1250
					patrol_path | none
					scan | true
					SO_access | 16348
					rotation | Rotation(0, 0, -0)
					pose | crouch
					repeatable | false
					enabled | true
					interval | 5
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | false
					base_delay | 0
					align_rotation | true
					align_position | true
					interrupt_on | none
					position | Vector3(-1325, -11386, 6212.18)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54181E80 (empty)
				_editor_name | point_special_objective_043
				_events | table: 54181EE0 (empty)
				_id | 101458
			101490 | table: 54291500
				__name | MissionScriptElement
				_values | table: 53CF07A0
					enabled | true
					on_executed | table: 53CF07C0
						1 | table: 53CF07E0
							delay | 60
							id | 101953
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-3300, -23350, 7650)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54291520 (empty)
				_editor_name | logic_link_095
				_element_group | MissionScriptElement
				_id | 101490
			101506 | table: 54183260
				__name | ElementAreaTrigger
				_values | table: 53BF2860
					on_executed | table: 53BF2880
						1 | table: 53BF28A0
							delay | 0
							id | 100577
						2 | table: 53BF28C0
							delay | 0
							id | 101968
						3 | table: 53BF28E0
							delay | 0
							id | 100701
						4 | table: 53BF2920
							delay | 0
							id | 101611
					trigger_times | 1
					execute_on_restart | false
					spawn_unit_elements | table: 53BF2940 (empty)
					amount | 1
					interval | 0.10000000149012
					enabled | false
					debug | false
					instigator | player
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					width | 3929.330078125
					position | Vector3(-1300, -29975, 6050)
					height | 1000
					depth | 778.03802490234
					trigger_on | on_enter
					execute_on_startup | false
				_id | 101506
				_shape | table: 54183300
					_type | box_middle
					_name | false
					_bounding_radius_sq | 11579726
					_position | Vector3(-1300, -29975, 6050)
					_rotation | Rotation(0, 0, -0)
					_properties | table: 54183320
						height | 1000
						depth | 778.03802490234
						width | 3929.330078125
					_center_pos | Vector3(-1300, -29975, 6050)
				_element_group | ElementAreaTrigger
				_last_project_amount_all | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54183280 (empty)
				_editor_name | trigger_area_013
				_inside | table: 54183340 (empty)
				_enabled_by_default | false
			101522 | table: 541B0520
				__name | ElementSpawnEnemyDummy
				_values | table: 53BF3400
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-350, -45650, 5342.23)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					spawn_action | move_climbover_std
					on_executed | table: 53BF3420 (empty)
					amount | 0
					execute_on_startup | false
					accessibility | acrobatic
					interval | 15
					enemy | units/characters/enemies/swat/swat
				_enemy_name | Idstring(@ID6a1ac63b209e379a@) --units/characters/enemies/swat/swat
				_id | 101522
				_units | table: 541B05C0 (empty)
				_events | table: 541B05E0 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541B0540 (empty)
				_editor_name | ai_spawn_enemy_149
				_element_group | ElementSpawnEnemyDummy
			101538 | table: 541B1060
				__name | ElementAreaTrigger
				_values | table: 53BF3C20
					on_executed | table: 53BF3C40
						1 | table: 53BF3C60
							delay | 0
							id | 101539
					trigger_times | 1
					execute_on_restart | false
					spawn_unit_elements | table: 53BF3C80 (empty)
					amount | 1
					interval | 1
					enabled | false
					debug | false
					instigator | escorts
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					width | 4625.009765625
					position | Vector3(-4600, -22200, 7079)
					height | 500
					depth | 2010.6899414063
					trigger_on | on_enter
					execute_on_startup | false
				_id | 101538
				_shape | table: 541B1100
					_type | box_middle
					_name | false
					_bounding_radius_sq | 16043036
					_position | Vector3(-4600, -22200, 7079)
					_rotation | Rotation(0, 0, -0)
					_properties | table: 541B1120
						height | 500
						depth | 2010.6899414063
						width | 4625.009765625
					_center_pos | Vector3(-4600, -22200, 7079)
				_element_group | ElementAreaTrigger
				_last_project_amount_all | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541B1080 (empty)
				_editor_name | trigger_area_018
				_inside | table: 541B1140 (empty)
				_enabled_by_default | false
			101570 | table: 541B21A0
				__name | MissionScriptElement
				_values | table: 53C308C0
					enabled | true
					on_executed | table: 53C308E0
						1 | table: 53C30900
							delay | 0
							id | 101565
						2 | table: 53C30920
							delay | 0
							id | 101567
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-5050, -22250, 6275)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541B21C0 (empty)
				_editor_name | logic_link_068
				_element_group | MissionScriptElement
				_id | 101570
			101586 | table: 541B2FC0
				__name | ElementSpecialObjective
				_values | table: 53C31400
					so_action | none
					on_executed | table: 53C31420 (empty)
					trigger_times | 1
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-1393.41, -14252.7, 5814.51)
					search_distance | 2000
					patrol_path | none
					scan | true
					SO_access | 1835011
					rotation | Rotation(-180, 0, -0)
					pose | none
					repeatable | false
					enabled | false
					interval | 1
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | run
					is_navigation_link | false
					base_delay | 0
					align_rotation | true
					align_position | true
					interrupt_on | obstructed
					position | Vector3(-1900, -22250, 5759.28)
					base_chance | 1
					execute_on_startup | false
					attitude | avoid
					ai_group | civilians
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541B2FE0 (empty)
				_editor_name | point_special_objective_050
				_events | table: 541B3040 (empty)
				_id | 101586
			101602 | table: 541B2460
				__name | ElementSpecialObjective
				_values | table: 53C30AC0
					so_action | AI_sniper
					on_executed | table: 53C30AE0 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(5290.44, -27402, 7648)
					search_distance | 400
					patrol_path | none
					scan | true
					SO_access | 16348
					rotation | Rotation(44.9999, -0, -0)
					pose | crouch
					repeatable | false
					enabled | true
					interval | 2
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | false
					base_delay | 0
					align_rotation | true
					align_position | true
					interrupt_on | none
					position | Vector3(575, -25825, 7650)
					base_chance | 1
					execute_on_startup | false
					attitude | none
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541B2480 (empty)
				_editor_name | point_special_objective_021
				_events | table: 541B24E0
					administered | table: 541D3800
						1 | function: 541D37E0
				_id | 101602
			101634 | table: 541B3E20
				__name | ElementSpawnEnemyDummy
				_values | table: 53C31CC0
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-2950, -47475, 4936.95)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-180, 0, -0)
					spawn_action | none
					on_executed | table: 53C31CE0
						1 | table: 53C31D00
							delay | 0
							id | 101645
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 5
					enemy | units/characters/enemies/taser/taser
				_enemy_name | Idstring(@IDb629e65ac5d203d7@) --units/characters/enemies/taser/taser
				_id | 101634
				_units | table: 541B3EC0 (empty)
				_events | table: 541B3EE0 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541B3E40 (empty)
				_editor_name | ai_spawn_enemy_155
				_element_group | ElementSpawnEnemyDummy
			101650 | table: 541F0960
				__name | ElementUnitSequence
				_values | table: 53C324C0
					enabled | true
					on_executed | table: 53C324E0 (empty)
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-2475, -7025, 5825)
					execute_on_startup | false
					trigger_list | table: 53C32500
						1 | table: 53C32520
							notify_unit_sequence | open_light
							name | run_sequence
							notify_unit_id | 101646
							id | 1
							time | 0
						2 | table: 53C32540
							notify_unit_sequence | hide_dummy
							name | run_sequence
							notify_unit_id | 101812
							id | 2
							time | 0
				_id | 101650
				_unit | [Unit '@ID67768423451632b3@' Vector3(-2475, -7025, 5825) 54200600] --core/units/run_sequence_dummy/run_sequence_dummy
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541F0980 (empty)
				_editor_name | func_sequence_019
				_element_group | ElementUnitSequence
				_enabled_by_default | true
			101666 | table: 541F2100
				__name | MissionScriptElement
				_values | table: 53C33520
					enabled | true
					on_executed | table: 53C33540
						1 | table: 53C33560
							delay | 0
							id | 101667
						2 | table: 53C33580
							delay | 15
							id | 101501
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-4050, -22525, 7650)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541F2120 (empty)
				_editor_name | logic_link_082
				_element_group | MissionScriptElement
				_id | 101666
			101730 | table: 54250B80
				__name | ElementSpawnCivilian
				_values | table: 53C81300
					enabled | true
					on_executed | table: 53C81320
						1 | table: 53C81340
							delay | 0
							id | 101781
						2 | table: 53C81360
							delay | 0
							id | 102211
					debug | false
					trigger_times | 1
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-172.3, 2.00133e-015, 7.15344e-014)
					position | Vector3(-1025, -1925, 5526.02)
					execute_on_startup | false
					state | none
					force_pickup | none
					enemy | units/characters/civilians/escort_guy_2/escort_guy_2
				_enemy_name | Idstring(@IDaaf01f5bcadf54a6@) --units/characters/civilians/escort_guy_2/escort_guy_2
				_id | 101730
				_units | table: 54250C20 (empty)
				_events | table: 54250C40
					spawn | table: 541D21C0
						1 | function: 541D21A0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54250BA0 (empty)
				_editor_name | ai_spawn_civilian_046
				_element_group | ElementSpawnCivilian
			101762 | table: 54251DE0
				__name | ElementAIGraph
				_values | table: 53C81CC0
					graph_ids | table: 53C81CE0
						1 | 76
						2 | 31
						3 | 33
					on_executed | table: 53C81D20 (empty)
					debug | false
					operation | allow_access
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1700, -21125, 7275)
					execute_on_startup | false
					trigger_times | 0
					enabled | true
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54251E00 (empty)
				_editor_name | ai_graph_005
				_element_group | ElementAIGraph
				_id | 101762
			101778 | table: 54282040
				__name | ElementSpecialObjective
				_values | table: 53CB1A40
					so_action | spawn_prisonvan_var4
					on_executed | table: 53CB1A60 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | true
					search_position | Vector3(-2250, -10175, 5800)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 262144
					rotation | Rotation(90, -0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | -1
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | run
					is_navigation_link | false
					base_delay | 0
					align_rotation | false
					align_position | false
					interrupt_on | none
					position | Vector3(-2175, -10200, 5800)
					base_chance | 1
					execute_on_startup | false
					attitude | avoid
					ai_group | escort_guy_2
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54282060 (empty)
				_editor_name | point_special_objective_082
				_events | table: 542820C0
					complete | table: 541D2F60
						1 | function: 541D2F40
				_id | 101778
			101794 | table: 54252FE0
				__name | ElementSpecialObjective
				_values | table: 53C83000
					on_executed | table: 53C83020 (empty)
					path_style | destination
					interaction_voice | default
					use_instigator | true
					patrol_path | none
					execute_on_startup | false
					pose | none
					repeatable | false
					enabled | true
					debug | false
					access_flag_version | 1
					follow_up_id | 100725
					path_haste | none
					rotation | Rotation(-180, 0, -0)
					base_chance | 1
					interrupt_on | none
					position | Vector3(-715, -2895, 5678.83)
					chance_inc | 0
					SO_access | 262144
					so_action | spawn_prisonvan_var9
					trigger_times | 0
					search_distance | 0
					trigger_on | none
					search_position | Vector3(-575.116, -2884.05, 5691.9)
					execute_on_restart | false
					base_delay | 0
					align_rotation | false
					align_position | false
					scan | true
